code,name,year,month,temp_min
GTM.10364835,Baja Verapaz,1950,06,342.85
GTM.10364836,Alta Verapaz,1950,06,382.0
GTM.10364837,Petén,1950,06,203.21
GTM.10364838,Izabal,1950,06,396.92
GTM.10364839,Zacapa,1950,06,338.11
GTM.10364840,Chiquimula,1950,06,323.91
GTM.10364841,Jalapa,1950,06,263.3
GTM.10364842,Jutiapa,1950,06,270.82
HND.1111420,Atlantida,1950,06,297.55
HND.1111421,Choluteca,1950,06,452.38
HND.1111422,Colon,1950,06,251.67
HND.1111423,Comayagua,1950,06,300.47
HND.1111424,Copan,1950,06,349.39
HND.1111425,Cortes,1950,06,311.55
HND.1111426,Francisco Morazan,1950,06,298.64
HND.1111427,Gracias A Dios,1950,06,413.95
HND.1111428,Intibuca,1950,06,337.87
HND.1111429,Islas De Bahia,1950,06,141.34
HND.1111430,La Paz,1950,06,315.77
HND.1111431,Lempira,1950,06,356.23
HND.1111432,Name Unknown,1950,06,238.11
HND.1111433,Ocotepeque,1950,06,408.44
HND.1111434,Olancho,1950,06,253.83
HND.1111435,Paraiso,1950,06,275.3
HND.1111436,Santa Barbara,1950,06,293.58
HND.1111437,Valle,1950,06,360.34
HND.1111438,Yoro,1950,06,311.56
NIC.1801,Boaco,1950,06,260.62
NIC.18010,Managua,1950,06,284.09
NIC.18011,Masaya,1950,06,294.72
NIC.18012,Matagalpa,1950,06,283.43
NIC.18013,Nueva Segovia,1950,06,247.49
NIC.18014,Región Autónoma del Caribe Norte,1950,06,402.46
NIC.18015,Región Autónoma del Caribe Sur,1950,06,367.53
NIC.18016,Río San Juan,1950,06,325.8
NIC.18017,Rivas,1950,06,281.55
NIC.1802,Carazo,1950,06,296.43
NIC.1803,Chinandega,1950,06,412.6
NIC.1804,Chontales,1950,06,260.32
NIC.1805,Estelí,1950,06,305.55
NIC.1806,Granada,1950,06,275.93
NIC.1807,Jinotega,1950,06,313.33
NIC.1808,León,1950,06,323.02
NIC.1809,Madriz,1950,06,322.81
PAN.1911,Bocas del Toro,1950,06,376.24
PAN.19110,Ngäbe Buglé,1950,06,476.62
PAN.19111,Panamá,1950,06,402.54
PAN.19112,Panamá Oeste,1950,06,381.6
PAN.19113,Veraguas,1950,06,556.12
PAN.1912,Chiriquí,1950,06,560.62
PAN.1913,Coclé,1950,06,439.33
PAN.1914,Colón,1950,06,381.3
PAN.1915,Darién,1950,06,516.95
PAN.1916,Emberá,1950,06,563.62
PAN.1917,Herrera,1950,06,566.18
PAN.1918,Kuna Yala,1950,06,335.88
PAN.1919,Los Santos,1950,06,554.19
SLV.751184,Ahuachapan,1950,06,365.76
SLV.751185,Cabanas,1950,06,335.64
SLV.751186,Chalatenango,1950,06,307.85
SLV.751187,Cuscatlan,1950,06,316.8
SLV.751188,La Libertad,1950,06,313.05
SLV.751189,La Paz,1950,06,383.06
SLV.751190,La Union,1950,06,301.23
SLV.751191,Morazan,1950,06,387.18
SLV.751192,San Miguel,1950,06,393.04
SLV.751193,San Salvador,1950,06,295.67
SLV.751194,San Vicente,1950,06,416.64
SLV.751195,Santa Ana,1950,06,256.14
SLV.751196,Sonsonate,1950,06,396.26
SLV.751197,Usulutan,1950,06,412.21
BLZ.28603,Belize,1950,07,227.75
BLZ.28604,Cayo,1950,07,156.03
BLZ.28605,Corozal,1950,07,206.23
BLZ.28606,Orange Walk,1950,07,184.34
BLZ.28607,Stann Creek,1950,07,294.45
BLZ.28608,Toledo,1950,07,248.6
CRI.61981,Alajuela,1950,07,386.63
CRI.61982,Cartago,1950,07,308.28
CRI.61983,Guanacaste,1950,07,257.43
CRI.61984,Heredia,1950,07,436.23
