code,name,year,month,temp_max,temp_min
BLZ.28604,Cayo,1950,06,27.35,21.85
BLZ.28605,Corozal,1950,06,28.92,24.15
BLZ.28606,Orange Walk,1950,06,29.46,23.22
BLZ.28607,Stann Creek,1950,06,26.78,23.31
BLZ.28608,Toledo,1950,06,27.54,22.68
CRI.61981,Alajuela,1950,06,27.18,21.06
CRI.61982,Cartago,1950,06,22.41,15.75
CRI.61983,Guanacaste,1950,06,28.79,22.85
CRI.61984,Heredia,1950,06,27.15,20.65
CRI.61985,Limon,1950,06,26.09,20.18
CRI.61986,Puntarenas,1950,06,25.84,21.23
CRI.61987,San Jose,1950,06,23.68,18.0
GTM.10364821,Guatemala,1950,06,23.29,15.33
GTM.10364822,El Progreso,1950,06,23.98,16.13
GTM.10364823,Sacatepéquez,1950,06,22.07,14.76
GTM.10364824,Chimaltenango,1950,06,21.17,14.4
GTM.10364825,Escuintla,1950,06,26.81,21.83
GTM.10364826,Santa Rosa,1950,06,25.59,19.34
GTM.10364827,Sololá,1950,06,19.96,14.48
GTM.10364828,Totonicapán,1950,06,18.41,11.32
GTM.10364829,Quetzaltenango,1950,06,22.37,16.12
GTM.10364830,Suchitepéquez,1950,06,27.02,21.47
GTM.10364831,Retalhuleu,1950,06,28.39,22.79
GTM.10364832,San Marcos,1950,06,21.94,14.82
GTM.10364833,Huehuetenango,1950,06,21.18,13.26
GTM.10364834,Quiché,1950,06,22.41,15.38
GTM.10364835,Baja Verapaz,1950,06,23.13,15.6
GTM.10364836,Alta Verapaz,1950,06,26.13,19.51
GTM.10364837,Petén,1950,06,30.06,22.39
